Type,Probability,Quota,numAllowed
63,0.9791830442532754,3.6222027618828045,8.0
63,0.020816955746724576,4.096790076003687,8.0
32,0.5034017242214238,8.826364105650402,3.0
32,0.4965982757785762,8.443713515419413,3.0
379,0.95543508990259,2.957188190324744,15.0
379,0.044564910097410065,1.8622193273862653,10.0
221,0.5606281551670405,2.0798065851726046,2.0
221,0.43937184483295944,1.4947154892177537,2.0
24,0.7481970535874751,8.814717359407775,8.0
24,0.2518029464125249,3.9836881283245336,4.0
356,0.938138306961373,2.221661795151117,8.0
356,0.06186169303862704,0.7198305765266287,2.0
374,1.0,3.009923899216194,13.0
610,1.0,2.064097880760121,4.0
574,0.5938595500062775,1.7833193780046128,4.0
574,0.40614044999372245,1.2440866117533491,3.0
106,0.8209510533941046,2.773501038696693,5.0
106,0.17904894660589554,2.927915334585685,6.0
651,0.5476965967380012,2.0727334941511453,11.0
651,0.45230340326199886,2.537551332257574,11.0
584,0.7771265877732505,1.7912585058220374,2.0
584,0.22287341222674953,0.9790311306067804,1.0
261,0.5641624894277627,2.2488127868388434,6.0
261,0.4358375105722373,0.9599309836815841,3.0
442,0.740492680409369,2.524063533691895,14.0
442,0.259507319590631,1.354090623560489,9.0
350,0.05257942952652474,0.8071150570848566,4.0
350,0.005771579068884469,1.8621693778602055,10.0
350,0.5655236589828948,2.240203827971884,13.0
350,0.376125332421696,2.623282478041832,15.0
167,0.48652663457360756,2.4671868520963143,4.0
167,0.5134733654263923,1.2297147631998642,3.0
677,0.6198337922119472,4.657111909945641,10.0
677,0.2800252433948014,1.5855527714633122,4.0
677,0.10014096439325133,1.4509731060562148,3.0
533,0.5420971309621397,4.267582939032615,5.0
533,0.45790286903786026,2.179655521423895,4.0
257,1.0,2.052647128222983,9.0
454,0.815685836463601,2.1127778491318177,12.0
454,0.18431416353639918,1.6049384466860417,10.0
644,0.1596350987087215,2.7626675158194987,9.0
644,0.08976348896535662,2.519745884381547,9.0
644,0.7506014123259219,2.0940346561347125,9.0
701,0.48745534884937936,4.75804779088776,8.0
701,0.5125446511506206,2.75533117303248,6.0
472,0.734550875960694,3.1450849243421404,7.0
472,0.2654491240393061,1.4410025364181842,4.0
51,1.0,4.4054605766311825,3.0
264,0.5781882715519904,2.23334416544257,5.0
264,0.4218117284480095,0.9793944429619521,3.0
55,1.0,4.651907735232637,3.0
694,0.703136652093645,4.917170273363543,15.0
694,0.18814016884567694,2.341012729248316,8.0
694,0.10872317906067808,2.177406962877075,7.0
150,0.2321852766903948,0.5025667176310525,0.0
150,0.7678147233096052,2.5732854833316776,5.0
463,0.6417678481357535,2.8485979920815976,19.0
463,0.3582321518642465,1.5592023238064567,13.0
569,0.2887254937169001,2.791173287684134,12.0
569,0.7112745062830997,2.051156670723702,12.0
835,0.7748873025747075,2.326042438597765,17.0
835,0.2251126974252925,1.4902208121288467,12.0
830,0.9216493522799715,3.4008463309059724,16.0
830,0.07835064772002845,3.285922814264345,15.0
664,0.624512996778849,3.5850320070927992,14.0
664,0.15053925676397517,1.3330741438913687,6.0
664,0.22494774645717605,1.4452924351436307,7.0
428,0.2566569888265514,1.8141849343537868,8.0
428,0.48499804189954987,2.421220890532208,10.0
428,0.2583449692738987,1.3746222846179017,6.0
407,0.9159423694035724,3.5218674539536763,19.0
407,0.08405763059642749,1.682588982907226,8.0
465,0.01199226582720499,2.389716405541982,7.0
465,0.988007734172795,1.8693078492825825,6.0
288,0.8508794404294234,1.7076286279643966,1.0
288,0.1491205595705765,1.246413010135643,1.0
568,0.7839794975325134,1.9655289322213596,6.0
568,0.21602050246748636,1.0170190468486267,4.0
573,0.9653338072713165,1.9248471352211058,10.0
573,0.03466619272868354,1.2110095262216751,7.0
684,0.6088254662391859,4.677266822536144,7.0
684,0.3911745337608141,1.3155808539473925,2.0
847,0.6931147873760638,2.038102039313141,6.0
847,0.30688521262393614,1.0577836509264138,2.0
526,0.9764734483284159,4.574656853351736,6.0
526,0.023526551671584205,1.8481087977368837,4.0
482,0.07723073194133989,1.9866615336483724,7.0
482,0.9227692680586601,3.35232232008715,10.0
681,0.5608085782695202,4.520935363618272,9.0
681,0.43919142173047976,1.260180976238995,2.0
330,0.4985280974188527,1.903754864976797,6.0
330,0.5014719025811474,1.6511418739799117,5.0
693,0.6803169415807057,4.8283765492499775,14.0
693,0.31968305841929434,2.275736643007894,8.0
84,1.0,3.503837005587143,8.0
342,0.4913695753080875,2.119749604479951,8.0
342,0.4541364461249261,1.7416984016898318,8.0
342,0.054493978566986435,1.1501124195551293,6.0
198,0.4241607898498635,2.0866721135256734,2.0
198,0.5758392101501366,1.5842984414361185,2.0
17,0.5947909360631256,8.787285004393812,11.0
17,0.12872657576254218,5.418915488689142,7.0
17,0.2764824881743322,8.621027138687726,11.0
46,1.0,4.3895419023443845,2.0
246,1.0,2.473259666100223,7.0
730,1.0,5.080888335118292,4.0
547,0.28686062966832865,3.7472623978672597,2.0
547,0.7131393703316714,2.4505961694987564,2.0
754,0.5057395293700762,2.8078156041108446,2.0
754,0.4942604706299239,1.7902606406709909,1.0
340,0.7843762130236576,2.2263769034353835,11.0
340,0.21562378697634232,0.6473376413334544,3.0
836,0.3883289380614544,1.5526662931919764,7.0
836,0.6116710619385456,2.5763125269592986,12.0
593,0.5545325590412807,2.6761328300946428,14.0
593,0.4454674409587192,1.617576904422498,8.0
648,0.20764703313100286,2.7475967353008777,11.0
648,0.7923529668689971,2.048781207940123,11.0
505,0.5957494937180732,3.7259034290357502,16.0
505,0.4042505062819268,1.3532019346237991,7.0
431,0.9065463201623603,2.0196996637544733,10.0
431,0.09345367983763987,1.3825954308551536,8.0
143,0.899039196628703,2.624070652447102,8.0
143,0.10096080337129698,0.5217206005941243,0.0
689,0.6397802468774314,4.7867008447731765,16.0
689,0.3602197531225686,2.256409757718995,9.0
380,1.0,2.999099547526157,10.0
124,1.0,2.586648656635431,3.0
738,0.7027186769244617,4.941771032367868,15.0
738,0.29728132307553834,2.4104518599937563,8.0
824,0.141601954262249,8.386472655985717,11.0
824,0.32089566786479895,7.080407125018671,10.0
824,0.5375023778729521,8.33582657312122,10.0
583,0.6984832836882718,1.8872168274844876,3.0
583,0.3015167163117283,0.9892654800275836,2.0
101,0.2158181182067115,3.3587910163183934,8.0
101,0.7841818817932885,3.0618081805168154,6.0
151,0.7808861049141071,2.623942669633926,6.0
151,0.21911389508589285,0.5034374343168814,0.0
359,0.2337025199140654,2.587823974256979,11.0
359,0.7662974800859346,2.142267021914517,9.0
782,0.43498495702647516,0.7095589437933311,0.0
782,0.5650150429735249,2.612370686719533,0.0
825,0.4582282294273055,4.405138537223104,3.0
825,0.5417717705726944,1.7142961688240521,3.0
